		D. Trump	T. Cruz	M. Rubio	B. Carson	J. Kasich	J. Bush	M. Huckabee	R. Paul	C. Christie	C. Fiorina	R. Santorum	L. Graham	Uncommitted
	Montgomery County	0.416	0.268	0.178	0.062	0.042	0.006	0.019	0.005	0.002	0.002	0.001	0	#N/A
	Nevada County	0.338	0.359	0.187	0.066	0.016	0.004	0.022	0.004	0.001	0	0	0.001	#N/A
	Newton County	0.385	0.213	0.283	0.052	0.03	0.009	0.02	0.002	0.005	0.001	0	0	#N/A
	Ouachita County	0.367	0.288	0.242	0.057	0.022	0.004	0.017	0.001	0.002	0	0.001	0	#N/A
	Perry County	0.363	0.378	0.165	0.048	0.021	0.008	0.01	0.005	0	0	0	0.001	#N/A
	Phillips County	0.566	0.172	0.176	0.044	0.017	0.006	0.016	0.002	0.002	0	0	0	#N/A
	Pike County	0.339	0.333	0.217	0.072	0.02	0.003	0.014	0	0	0.001	0.002	0	#N/A
	Poinsett County	0.385	0.335	0.176	0.058	0.026	0.002	0.013	0.002	0.002	0.001	0.001	0	#N/A
	Polk County	0.403	0.222	0.221	0.066	0.033	0.006	0.039	0.003	0.002	0.002	0.001	0.002	#N/A
	Pope County	0.321	0.314	0.244	0.065	0.029	0.006	0.014	0.002	0.001	0	0.001	0.001	#N/A
	Prairie County	0.297	0.425	0.21	0.04	0.01	0.003	0.008	0.002	0.001	0.001	0.001	0.002	#N/A
	Pulaski County	0.256	0.278	0.352	0.044	0.055	0.006	0.005	0.003	0.001	0.001	0	0	#N/A
	Randolph County	0.37	0.33	0.191	0.056	0.031	0.003	0.009	0.004	0.006	0	0	0	#N/A
	Saint Francis County	0.413	0.341	0.163	0.047	0.013	0.003	0.017	0.001	0.001	0	0.001	0	#N/A
	Saline County	0.306	0.331	0.27	0.046	0.032	0.003	0.007	0.002	0.001	0	0	0	#N/A
	Scott County	0.427	0.289	0.169	0.055	0.03	0.007	0.016	0.002	0.001	0	0.001	0.001	#N/A
	Searcy County	0.39	0.354	0.138	0.061	0.027	0.003	0.018	0.007	0.001	0	0	0.001	#N/A
	Sebastian County	0.323	0.305	0.24	0.053	0.054	0.007	0.012	0.003	0.002	0.001	0.001	0	#N/A
	Sevier County	0.382	0.319	0.163	0.091	0.023	0.003	0.015	0.001	0.001	0	0	0.001	#N/A
	Sharp County	0.419	0.244	0.195	0.079	0.03	0.005	0.017	0.003	0.003	0.002	0.001	0	#N/A
	Stone County	0.392	0.308	0.17	0.077	0.024	0.006	0.017	0.003	0.002	0	0	0	#N/A
	Union County	0.352	0.337	0.196	0.055	0.026	0.007	0.014	0.005	0.001	0.001	0.002	0.002	#N/A
	Van Buren County	0.375	0.3	0.211	0.051	0.034	0.002	0.018	0.003	0	0.002	0.001	0.002	#N/A
	Washington County	0.275	0.307	0.301	0.053	0.045	0.005	0.007	0.003	0.001	0.001	0.001	0	#N/A
	White County	0.316	0.341	0.223	0.076	0.023	0.004	0.011	0.002	0.001	0.001	0.001	0	#N/A
	Woodruff County	0.442	0.289	0.156	0.068	0.017	0.01	0.01	0.003	0	0	0	0	#N/A
	Yell County	0.376	0.324	0.205	0.056	0.019	0.003	0.012	0.003	0	0	0	0.001	#N/A
Georgia	Appling County	0.415	0.294	0.148	0.098	0.027	0.01	0.005	0.002	0.001	0	0	0	#N/A
	Atkinson County	0.659	0.195	0.078	0.048	0.015	0.004	0	0	0.001	0.001	0	0	#N/A
	Bacon County	0.538	0.203	0.146	0.065	0.034	0.005	0.004	0	0.002	0.001	0.001	0.001	#N/A
	Baker County	0.602	0.2	0.097	0.057	0.018	0.007	0.007	0.005	0.002	0.005	0	0	#N/A
	Baldwin County	0.458	0.195	0.213	0.077	0.041	0.01	0.002	0.003	0.002	0	0.001	0	#N/A
	Banks County	0.489	0.284	0.12	0.068	0.023	0.004	0.006	0.002	0.002	0.002	0.001	0	#N/A
	Barrow County	0.408	0.304	0.18	0.065	0.03	0.005	0.002	0.003	0.001	0.001	0.001	0.001	#N/A
	Bartow County	0.462	0.251	0.182	0.063	0.031	0.005	0.003	0.003	0	0.001	0	0	#N/A
	Ben Hill County	0.559	0.173	0.107	0.114	0.033	0.01	0.002	0.001	0.001	0.001	0	0	#N/A
	Berrien County	0.552	0.254	0.085	0.063	0.023	0.011	0.008	0.002	0.002	0	0	0	#N/A
	Bibb County	0.388	0.222	0.229	0.076	0.072	0.006	0.002	0.002	0.002	0.001	0	0	#N/A
	Bleckley County	0.436	0.248	0.192	0.068	0.041	0.008	0.002	0.001	0.003	0.001	0	0	#N/A
	Brantley County	0.488	0.254	0.134	0.08	0.02	0.008	0.008	0.005	0	0	0.001	0	#N/A
	Brooks County	0.52	0.244	0.137	0.06	0.027	0.006	0.003	0.001	0.002	0.001	0	0.001	#N/A
	Bryan County	0.391	0.261	0.229	0.059	0.048	0.007	0.001	0.002	0.001	0.001	0	0	#N/A
	Bulloch County	0.377	0.26	0.214	0.079	0.054	0.007	0.002	0.002	0.001	0.001	0	0.001	#N/A
	Burke County	0.451	0.307	0.143	0.062	0.021	0.01	0.003	0.002	0	0	0	0	#N/A
	Butts County	0.488	0.259	0.155	0.063	0.025	0.005	0.002	0.001	0.001	0.001	0	0	#N/A
	Calhoun County	0.508	0.233	0.154	0.065	0.034	0.002	0.002	0	0.002	0	0	0	#N/A
	Camden County	0.485	0.187	0.194	0.072	0.047	0.006	0.003	0.003	0.002	0.001	0.001	0	#N/A
