		D. Trump	T. Cruz	M. Rubio	B. Carson	J. Kasich	J. Bush	M. Huckabee	R. Paul	C. Christie	C. Fiorina	R. Santorum	L. Graham	Uncommitted
	Zavala County	0	0	0	0	0	0	0	0	0	0	0	0	0
Vermont	Addison County	0.29	0.124	0.198	0.043	0.301	0.02	#N/A	0.01	0.008	0.003	0.003	#N/A	#N/A
	Bennington County	0.41	0.118	0.181	0.037	0.212	0.017	#N/A	0.005	0.011	0.003	0.006	#N/A	#N/A
	Caledonia County	0.305	0.1	0.209	0.054	0.292	0.019	#N/A	0.009	0.006	0.005	0.002	#N/A	#N/A
	Chittenden County	0.265	0.106	0.211	0.035	0.352	0.016	#N/A	0.005	0.004	0.003	0.001	#N/A	#N/A
	Essex County	0.435	0.087	0.174	0.046	0.226	0.019	#N/A	0.008	0.002	0.002	0.001	#N/A	#N/A
	Franklin County	0.365	0.106	0.197	0.043	0.255	0.016	#N/A	0.007	0.006	0.002	0.003	#N/A	#N/A
	Grand Isle County	0.377	0.101	0.155	0.029	0.294	0.024	#N/A	0.009	0.005	0.004	0.002	#N/A	#N/A
	Lamoille County	0.284	0.074	0.212	0.045	0.353	0.014	#N/A	0.007	0.008	0.002	0.001	#N/A	#N/A
	Orange County	0.34	0.1	0.166	0.057	0.287	0.025	#N/A	0.008	0.008	0.003	0.005	#N/A	#N/A
	Orleans County	0.363	0.08	0.199	0.062	0.27	0.012	#N/A	0.006	0.006	0	0.002	#N/A	#N/A
	Rutland County	0.371	0.079	0.181	0.033	0.301	0.016	#N/A	0.006	0.005	0.003	0.004	#N/A	#N/A
	Washington County	0.293	0.087	0.202	0.035	0.349	0.018	#N/A	0.007	0.004	0.003	0.002	#N/A	#N/A
	Windham County	0.372	0.092	0.18	0.06	0.246	0.029	#N/A	0.008	0.008	0.003	0.003	#N/A	#N/A
	Windsor County	0.349	0.09	0.169	0.045	0.303	0.02	#N/A	0.007	0.006	0.007	0.002	#N/A	#N/A
Virginia	Accomack County	0.479	0.159	0.209	0.095	0.049	0.001	0.002	0.003	0.001	0.001	0	0	#N/A
	Albemarle County	0.246	0.171	0.371	0.045	0.155	0.003	0.001	0.003	0.001	0.001	0.001	0	#N/A
	Alexandria City	0.188	0.077	0.468	0.02	0.233	0.007	0.001	0.003	0.001	0.001	0	0.001	#N/A
	Alleghany County	0.469	0.154	0.24	0.083	0.043	0.003	0.003	0.003	0.001	0.001	0.001	0	#N/A
	Amelia County	0.481	0.214	0.208	0.065	0.026	0.002	0.001	0.001	0.001	0	0	0	#N/A
	Amherst County	0.397	0.269	0.196	0.095	0.034	0.002	0.002	0.002	0.002	0	0	0	#N/A
	Appomattox County	0.428	0.259	0.181	0.086	0.034	0.002	0.003	0.005	0	0	0	0	#N/A
	Arlington County	0.168	0.079	0.497	0.017	0.226	0.005	0	0.004	0.001	0.002	0	0.001	#N/A
	Augusta County	0.373	0.23	0.248	0.079	0.059	0.003	0.002	0.002	0.001	0	0.001	0.001	#N/A
	Bath County	0.495	0.1	0.246	0.085	0.059	0.002	0.003	0.007	0.002	0	0	0	#N/A
	Bedford County	0.35	0.296	0.212	0.084	0.052	0.002	0.001	0.002	0.001	0	0	0	#N/A
	Bland County	0.55	0.16	0.172	0.069	0.042	0.003	0.002	0.001	0.001	0	0	0	#N/A
	Botetourt County	0.356	0.264	0.247	0.072	0.052	0.002	0.002	0.002	0.001	0.001	0	0	#N/A
	Bristol City	0.442	0.242	0.205	0.068	0.038	0	0.003	0.001	0	0	0	0	#N/A
	Brunswick County	0.494	0.117	0.249	0.081	0.048	0.004	0	0.002	0.001	0.002	0.001	0.002	#N/A
	Buchanan County	0.697	0.117	0.138	0.024	0.021	0.002	0.001	0.001	0	0	0	0	#N/A
	Buckingham County	0.5	0.176	0.204	0.075	0.028	0.005	0.002	0.002	0.002	0	0.004	0.001	#N/A
	Buena Vista City	0.323	0.18	0.297	0.116	0.064	0.005	0.007	0.003	0.002	0.002	0	0.002	#N/A
	Campbell County	0.38	0.276	0.201	0.099	0.037	0.002	0.001	0.004	0	0	0	0	#N/A
	Caroline County	0.447	0.179	0.23	0.085	0.046	0.003	0.002	0.003	0.002	0	0.001	0	#N/A
	Carroll County	0.535	0.181	0.162	0.075	0.038	0.002	0.002	0.002	0.001	0	0.001	0	#N/A
	Charles City	0.378	0.28	0.217	0.073	0.042	0.001	0.001	0.003	0.003	0	0	0	#N/A
	Charlotte County	0.534	0.145	0.201	0.072	0.033	0.007	0.001	0.001	0.003	0.001	0.001	0.002	#N/A
	Charlottesville City	0.173	0.114	0.475	0.037	0.186	0.007	0.001	0.005	0	0	0	0	#N/A
	Chesapeake City	0.398	0.148	0.308	0.076	0.06	0.003	0.002	0.003	0.001	0.001	0	0	#N/A
	Chesterfield County	0.336	0.185	0.349	0.052	0.07	0.003	0.001	0.003	0.001	0.001	0	0	#N/A
	Clarke County	0.331	0.214	0.295	0.07	0.078	0.004	0.001	0.004	0.001	0.002	0.001	0	#N/A
	Colonial Heights City	0.487	0.148	0.26	0.056	0.033	0.003	0.004	0.004	0.001	0.001	0	0	#N/A
	Covington City	0.466	0.158	0.232	0.073	0.062	0.005	0.002	0.002	0	0	0	0	#N/A
	Craig County	0.471	0.284	0.16	0.053	0.021	0.002	0.002	0.005	0	0.001	0	0	#N/A
	Culpeper County	0.376	0.232	0.245	0.071	0.063	0.003	0.002	0.003	0.001	0.001	0.001	0	#N/A
	Cumberland County	0.466	0.195	0.23	0.063	0.019	0.019	0	0.002	0.001	0.001	0.001	0.001	#N/A
	Danville City	0.442	0.183	0.221	0.083	0.057	0.004	0.003	0.002	0.002	0	0.001	0.001	#N/A
	Dickenson County	0.605	0.145	0.155	0.065	0.022	0.003	0.004	0.001	0	0	0.001	0	#N/A
	Dinwiddie County	0.52	0.164	0.205	0.065	0.036	0.004	0.002	0.001	0.001	0	0	0	#N/A
	Emporia City	0.469	0.102	0.272	0.092	0.047	0.013	0	0	0.003	0.003	0	0	#N/A
	Essex County	0.382	0.122	0.35	0.078	0.054	0.003	0.003	0.002	0.001	0.003	0	0.001	#N/A
	Fairfax County	0.251	0.129	0.4	0.031	0.175	0.005	0.001	0.003	0.001	0.001	0.001	0.001	#N/A
	Fairfax City	0.25	0.159	0.369	0.032	0.171	0.004	0.002	0.004	0.001	0.005	0.001	0	#N/A
	Falls Church City	0.157	0.122	0.451	0.024	0.234	0.006	0	0.004	0.002	0.001	0	0	#N/A
	Fauquier County	0.361	0.195	0.275	0.066	0.09	0.004	0.001	0.004	0.001	0.002	0	0.001	#N/A
	Floyd County	0.42	0.256	0.198	0.076	0.04	0.003	0.002	0.002	0.001	0	0	0	#N/A
	Fluvanna County	0.352	0.215	0.284	0.064	0.076	0.002	0.002	0.002	0.001	0.001	0.001	0	#N/A
	Franklin County	0.446	0.233	0.188	0.072	0.053	0.002	0.002	0.001	0.001	0.001	0.001	0	#N/A
	Franklin City	0.379	0.134	0.341	0.061	0.066	0.004	0.003	0.009	0	0	0.001	0	#N/A
	Frederick County	0.367	0.23	0.259	0.073	0.06	0.003	0.001	0.002	0.001	0.001	0	0.001	#N/A
	Fredericksburg City	0.311	0.133	0.327	0.058	0.151	0.006	0.003	0.005	0.001	0.002	0.001	0	#N/A
	Galax City	0.501	0.127	0.183	0.114	0.064	0.002	0.003	0.002	0	0	0.002	0	#N/A
	Giles County	0.468	0.168	0.233	0.079	0.043	0.003	0.002	0.002	0.001	0	0	0	#N/A
	Gloucester County	0.441	0.131	0.281	0.08	0.055	0.002	0.003	0.002	0.001	0.001	0.001	0	#N/A
	Goochland County	0.336	0.182	0.351	0.05	0.073	0.002	0.001	0.002	0.001	0.001	0	0.001	#N/A
	Grayson County	0.518	0.182	0.178	0.08	0.033	0.001	0.004	0.001	0.001	0.002	0.001	0	#N/A
	Greene County	0.356	0.237	0.252	0.074	0.069	0.005	0.001	0.005	0.001	0	0.001	0	#N/A
	Greensville County	0.534	0.131	0.23	0.063	0.033	0.001	0	0	0.001	0	0	0.003	#N/A
	Halifax County	0.545	0.176	0.162	0.076	0.036	0.003	0.001	0.001	0.001	0	0	0	#N/A
	Hampton City	0.407	0.131	0.307	0.075	0.064	0.004	0.002	0.004	0.001	0.002	0.001	0.001	#N/A
	Hanover County	0.347	0.218	0.309	0.055	0.062	0.002	0.001	0.002	0.001	0.001	0	0	#N/A
	Harrisonburg City	0.25	0.178	0.395	0.068	0.094	0.005	0.001	0.005	0.003	0.001	0	0.001	#N/A
	Henrico County	0.289	0.199	0.369	0.042	0.089	0.003	0.001	0.003	0.001	0.001	0.002	0	#N/A
	Henry County	0.504	0.195	0.188	0.072	0.033	0.002	0.002	0.002	0.001	0	0	0.001	#N/A
	Highland County	0.418	0.222	0.23	0.059	0.064	0	0.003	0	0	0	0.005	0	#N/A
	Hopewell City	0.532	0.168	0.205	0.044	0.04	0.003	0.002	0.002	0.003	0.001	0	0	#N/A
	Isle of Wight County	0.416	0.14	0.308	0.066	0.061	0.004	0.002	0.002	0.001	0	0	0.001	#N/A
	James City	0.277	0.129	0.376	0.052	0.155	0.004	0.001	0.002	0.001	0.001	0	0.001	#N/A
	King and Queen County	0.492	0.164	0.224	0.066	0.044	0.002	0.002	0	0.002	0	0	0	#N/A
	King George County	0.367	0.195	0.264	0.095	0.067	0.003	0.002	0.003	0.002	0	0.001	0	#N/A
	King William County	0.418	0.239	0.239	0.059	0.033	0.003	0.002	0.005	0.002	0	0	0.001	#N/A
	Lancaster County	0.418	0.084	0.311	0.069	0.108	0.003	0	0.002	0.003	0	0	0	#N/A
	Lee County	0.534	0.194	0.168	0.061	0.033	0.002	0.003	0	0	0.002	0.001	0.001	#N/A
	Lexington City	0.199	0.091	0.442	0.055	0.199	0.013	0	0	0	0.002	0	0	#N/A
	Loudoun County	0.279	0.149	0.404	0.043	0.114	0.004	0.001	0.003	0.001	0.001	0.001	0	#N/A
	Louisa County	0.406	0.22	0.253	0.06	0.05	0.003	0.002	0.003	0.001	0.001	0.001	0	#N/A
	Lunenburg County	0.485	0.135	0.221	0.127	0.026	0.002	0.001	0.001	0	0.002	0	0	#N/A
	Lynchburg City	0.227	0.289	0.303	0.107	0.063	0.002	0.001	0.005	0.001	0.001	0	0	#N/A
	Madison County	0.416	0.212	0.193	0.103	0.065	0.004	0.004	0	0.001	0.001	0.001	0	#N/A
	Manassas City	0.356	0.196	0.306	0.059	0.072	0.004	0.001	0.003	0.001	0.001	0	0.001	#N/A
	Manassas Park City	0.383	0.191	0.28	0.079	0.062	0.002	0	0.002	0	0.001	0	0	#N/A
	Martinsville City	0.424	0.166	0.249	0.072	0.082	0.004	0	0	0	0.001	0	0	#N/A
	Mathews County	0.43	0.152	0.27	0.069	0.068	0.005	0	0.001	0.002	0.001	0	0.002	#N/A
	Mecklenburg County	0.5	0.142	0.222	0.072	0.052	0.004	0.002	0.003	0.002	0	0	0	#N/A
	Middlesex County	0.492	0.096	0.266	0.063	0.07	0.003	0.003	0.003	0.001	0.001	0	0.001	#N/A
	Montgomery County	0.323	0.168	0.32	0.085	0.089	0.004	0.003	0.005	0.001	0.001	0	0	#N/A
	Nelson County	0.411	0.231	0.228	0.065	0.056	0.002	0.002	0.003	0.001	0.001	0	0	#N/A
	New Kent County	0.398	0.199	0.262	0.078	0.057	0.002	0.001	0.001	0	0.001	0	0	#N/A
	Newport News City	0.369	0.135	0.335	0.074	0.073	0.004	0.001	0.004	0.001	0.001	0.002	0	#N/A
	Norfolk City	0.365	0.118	0.342	0.063	0.089	0.005	0.001	0.005	0.001	0.001	0.009	0.001	#N/A
	Northampton County	0.454	0.117	0.265	0.055	0.099	0.004	0.001	0.001	0.002	0	0	0	#N/A
	Northumberland County	0.44	0.101	0.286	0.07	0.094	0.002	0.002	0.002	0.001	0	0	0	#N/A
	Norton City	0.532	0.117	0.237	0.08	0.027	0	0	0.005	0.003	0	0	0	#N/A
	Nottoway County	0.483	0.164	0.217	0.1	0.023	0.004	0.001	0.004	0.001	0	0	0.001	#N/A
	Orange County	0.414	0.18	0.241	0.071	0.084	0.003	0.001	0.002	0.002	0.001	0.001	0	#N/A
	Page County	0.51	0.158	0.204	0.072	0.046	0.002	0.002	0.002	0	0.001	0.001	0.001	#N/A
	Patrick County	0.468	0.23	0.164	0.095	0.033	0.001	0.002	0.002	0.003	0.001	0	0	#N/A
	Petersburg City	0.404	0.167	0.264	0.072	0.059	0.008	0.001	0.008	0.006	0.001	0.001	0.003	#N/A
	Pittsylvania County	0.486	0.193	0.17	0.095	0.023	0.001	0.001	0.002	0	0.001	0	0	#N/A
	Poquoson City	0.415	0.116	0.327	0.058	0.072	0.004	0	0.003	0.001	0.001	0.001	0.001	#N/A
	Portsmouth City	0.456	0.119	0.281	0.077	0.053	0.004	0.002	0.004	0.001	0.001	0	0.001	#N/A
	Powhatan County	0.381	0.22	0.285	0.056	0.05	0.002	0.001	0.002	0.001	0.001	0	0	#N/A
	Prince Edward County	0.414	0.158	0.3	0.057	0.06	0.003	0	0.002	0.002	0	0.001	0	#N/A
	Prince George County	0.483	0.194	0.232	0.06	0.025	0.002	0	0.001	0.001	0	0	0	#N/A
	Prince William County	0.331	0.171	0.335	0.056	0.093	0.004	0.002	0.003	0.001	0.001	0.003	0	#N/A
	Pulaski County	0.507	0.152	0.21	0.081	0.041	0.003	0.002	0.002	0	0.001	0	0	#N/A
	Radford City	0.334	0.133	0.355	0.101	0.064	0.003	0.001	0.003	0.001	0.001	0.001	0.002	#N/A
	Rappahannock County	0.406	0.192	0.225	0.083	0.072	0.007	0.003	0.004	0.001	0.002	0.001	0.003	#N/A
	Richmond County	0.369	0.124	0.358	0.096	0.041	0.001	0.002	0.001	0.005	0.001	0	0	#N/A
	Richmond City	0.202	0.114	0.469	0.038	0.159	0.004	0.002	0.005	0.002	0.002	0.001	0.001	#N/A
	Roanoke County	0.346	0.225	0.286	0.067	0.066	0.002	0.002	0.003	0.001	0.001	0	0	#N/A
	Roanoke City	0.343	0.198	0.288	0.071	0.084	0.004	0.002	0.005	0.002	0.001	0	0.001	#N/A
	Rockbridge County	0.355	0.162	0.288	0.073	0.11	0.003	0.002	0.002	0.002	0.001	0.001	0.001	#N/A
	Rockingham County	0.363	0.218	0.263	0.081	0.063	0.003	0.002	0.002	0.001	0.001	0	0	#N/A
	Russell County	0.556	0.18	0.17	0.057	0.026	0.001	0.005	0.002	0.002	0	0	0	#N/A
	Salem City	0.35	0.208	0.3	0.072	0.059	0.004	0.002	0.003	0	0	0	0.001	#N/A
	Scott County	0.503	0.202	0.181	0.076	0.026	0.004	0.005	0.002	0	0	0	0	#N/A
	Shenandoah County	0.384	0.197	0.248	0.097	0.059	0.004	0.003	0.003	0.001	0.001	0.001	0	#N/A
	Smyth County	0.52	0.165	0.21	0.058	0.035	0.003	0.003	0.003	0.001	0	0	0	#N/A
	Southampton County	0.47	0.142	0.268	0.07	0.041	0.004	0.002	0	0.001	0.001	0	0	#N/A
	Spotsylvania County	0.375	0.196	0.271	0.069	0.08	0.003	0.002	0.003	0.001	0.001	0	0	#N/A
	Stafford County	0.36	0.172	0.309	0.066	0.082	0.004	0.001	0.002	0.001	0.001	0	0	#N/A
	Staunton City	0.313	0.19	0.322	0.078	0.085	0.004	0.003	0.002	0.002	0	0	0.001	#N/A
	Suffolk City	0.395	0.145	0.312	0.071	0.068	0.003	0.001	0.002	0.001	0.001	0	0.001	#N/A
	Surry County	0.454	0.206	0.226	0.084	0.02	0.004	0.001	0	0	0.001	0.001	0	#N/A
	Sussex County	0.493	0.162	0.227	0.065	0.039	0.006	0.001	0	0.001	0.001	0.002	0.002	#N/A
	Tazewell County	0.579	0.164	0.151	0.06	0.036	0.002	0.002	0.002	0.001	0.001	0	0.001	#N/A
	Virginia Beach City	0.397	0.12	0.324	0.058	0.089	0.003	0.002	0.004	0.001	0.001	0	0	#N/A
	Warren County	0.395	0.257	0.228	0.056	0.051	0.003	0.001	0.005	0.001	0.002	0	0	#N/A
	Washington County	0.434	0.245	0.201	0.062	0.048	0.002	0.002	0.002	0.001	0.001	0.001	0.001	#N/A
	Waynesboro City	0.322	0.205	0.289	0.086	0.081	0.005	0.004	0.004	0.001	0	0.001	0.001	#N/A
	Westmoreland County	0.488	0.132	0.216	0.072	0.083	0.004	0.001	0.001	0.002	0	0	0	#N/A
	Williamsburg City	0.217	0.096	0.408	0.043	0.223	0.006	0.001	0.002	0.001	0.003	0	0.001	#N/A
	Winchester City	0.32	0.175	0.31	0.073	0.108	0.004	0.004	0.003	0.001	0	0	0.001	#N/A
	Wise County	0.567	0.141	0.173	0.079	0.029	0.002	0.003	0.002	0.001	0.001	0.001	0	#N/A
	Wythe County	0.537	0.153	0.185	0.074	0.042	0.002	0.004	0.002	0.001	0	0	0	#N/A
	York County	0.332	0.142	0.354	0.062	0.098	0.004	0.002	0.003	0.001	0.001	0.001	0	#N/A
